"","OTU","assignmentQual","taxID","superkingdom","phylum","class","order","family","genus","species"
"90","ASV_90","Low","363325","Eukaryota","","Dinophyceae","Blastodiniales","","Blastodinium","Blastodinium contortum"
"91","ASV_91","High-MH","None","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Codonellidae","Tintinnopsis",NA
"92","ASV_92","Low","1891234","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Codonellopsidae","Stenosemella","Stenosemella sp."
"93","ASV_93","High-MH","None","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Strombidium",NA
"94","ASV_94","Low","1537145","Eukaryota","Ciliophora","Spirotrichea","","Cyrtostrombidiidae","Cyrtostrombidium","Cyrtostrombidium paralongisomum"
"95","ASV_95","Low","1868451","Eukaryota","Ciliophora","Litostomatea","Haptorida","Spathidiidae","Spathidium","Spathidium muscicola"
"96","ASV_96","Low","181621","Eukaryota","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Strobilidium","Strobilidium sp."
"97","ASV_97","High-MH","None","Eukaryota",NA,NA,NA,NA,NA,NA
"98","ASV_98","Low","993361","Eukaryota","Ciliophora","Litostomatea","Haptorida","Dileptidae","Dileptus","Dileptus microstoma"
"99","ASV_99","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"100","ASV_100","Low","5974","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Halteriidae","Halteria","Halteria grandinella"
"101","ASV_101","None","None",NA,NA,NA,NA,NA,NA,NA
"102","ASV_102","None","None",NA,NA,NA,NA,NA,NA,NA
"103","ASV_103","Low","645386","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Dimophyes","Dimophyes arctica"
"104","ASV_104","None","None",NA,NA,NA,NA,NA,NA,NA
"105","ASV_105","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"106","ASV_106","Low","1606870","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Strombidium","Strombidium triquetrum"
"107","ASV_107","Low","1607872","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Strombidium","Strombidium tropicum"
"108","ASV_108","High","186176","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia seriata"
"109","ASV_109","Low","1537145","Eukaryota","Ciliophora","Spirotrichea","","Cyrtostrombidiidae","Cyrtostrombidium","Cyrtostrombidium paralongisomum"
"110","ASV_110","None","None",NA,NA,NA,NA,NA,NA,NA
"111","ASV_111","Low","2778692","Eukaryota","Ciliophora","Litostomatea","Cyclotrichida","Mesodiniidae","Askenasia","Askenasia chlorelligera"
"112","ASV_112","Low","541016","Eukaryota","Ciliophora","Heterotrichea","Heterotrichida","Peritromidae","Peritromus","Peritromus faurei"
"113","ASV_113","Low","200601","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Oxytricha","Oxytricha sp. Steamboat Hot Springs"
"114","ASV_114","Low","200601","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Oxytricha","Oxytricha sp. Steamboat Hot Springs"
"115","ASV_115","High","1229648","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Codonellopsidae","Laackmanniella","Laackmanniella prolongata"
"116","ASV_116","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"117","ASV_117","Low","363325","Eukaryota","","Dinophyceae","Blastodiniales","","Blastodinium","Blastodinium contortum"
"118","ASV_118","Low","1853550","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","","","[Candida] sp. (uncertain placement)"
"119","ASV_119","None","None",NA,NA,NA,NA,NA,NA,NA
"120","ASV_120","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"121","ASV_121","Low","363325","Eukaryota","","Dinophyceae","Blastodiniales","","Blastodinium","Blastodinium contortum"
"122","ASV_122","Low","1240643","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona sp. 2012JH195"
"123","ASV_123","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"124","ASV_124","None","None",NA,NA,NA,NA,NA,NA,NA
"125","ASV_125","High-MH","None","Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Catablema",NA
"126","ASV_126","High","27804","Eukaryota","Cnidaria","Scyphozoa","Semaeostomeae","Cyaneidae","Cyanea","Cyanea capillata"
"127","ASV_127","None","None",NA,NA,NA,NA,NA,NA,NA
"128","ASV_128","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"129","ASV_129","Low","1885296","Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea curta"
"130","ASV_130","Low","140496","Eukaryota","Ctenophora","Tentaculata","Cydippida","Mertensiidae","Mertensia","Mertensia ovum"
"131","ASV_131","None","None",NA,NA,NA,NA,NA,NA,NA
"132","ASV_132","Low","1537145","Eukaryota","Ciliophora","Spirotrichea","","Cyrtostrombidiidae","Cyrtostrombidium","Cyrtostrombidium paralongisomum"
"133","ASV_133","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"134","ASV_134","Low","200601","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Oxytricha","Oxytricha sp. Steamboat Hot Springs"
"135","ASV_135","None","None",NA,NA,NA,NA,NA,NA,NA
"136","ASV_136","High","1173061","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Geotrichum","Geotrichum candidum"
"137","ASV_137","Low","1537145","Eukaryota","Ciliophora","Spirotrichea","","Cyrtostrombidiidae","Cyrtostrombidium","Cyrtostrombidium paralongisomum"
"138","ASV_138","None","None",NA,NA,NA,NA,NA,NA,NA
"139","ASV_139","Low","324873","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"140","ASV_140","Low","134763","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","Metridia lucens"
"141","ASV_141","Low","2049016","Eukaryota","Ciliophora","Litostomatea","Pleurostomatida","Litonotidae","Litonotus","Litonotus crystallinus"
"142","ASV_142","Low","702563","Eukaryota","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Rimostrombidium","Rimostrombidium veniliae"
"143","ASV_143","None","None",NA,NA,NA,NA,NA,NA,NA
"144","ASV_144","Low","1229649","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Amphorellopsis","Amphorellopsis quinquealata"
"145","ASV_145","None","None",NA,NA,NA,NA,NA,NA,NA
"146","ASV_146","Low","181622","Eukaryota","Ciliophora","Spirotrichea","Choreotrichida","Strombidinopsidae","Strombidinopsis","Strombidinopsis sp."
"147","ASV_147","None","None",NA,NA,NA,NA,NA,NA,NA
"148","ASV_148","High-MH","None","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Codonellidae","Tintinnopsis",NA
"149","ASV_149","Low","1283837","Eukaryota","","Ichthyosporea","Ichthyophonida","","Sphaeroforma","Sphaeroforma gastrica"
"150","ASV_150","Low","181621","Eukaryota","Ciliophora","Spirotrichea","Choreotrichida","Strobilidiidae","Strobilidium","Strobilidium sp."
"151","ASV_151","High","41880","Eukaryota","Chlorophyta","","","Pycnococcaceae","Pycnococcus","Pycnococcus provasolii"
"152","ASV_152","None","None",NA,NA,NA,NA,NA,NA,NA
"153","ASV_153","None","None",NA,NA,NA,NA,NA,NA,NA
"154","ASV_154","None","None",NA,NA,NA,NA,NA,NA,NA
"155","ASV_155","Low","363325","Eukaryota","","Dinophyceae","Blastodiniales","","Blastodinium","Blastodinium contortum"
"156","ASV_156","Low","1969917","Eukaryota","Ciliophora","Spirotrichea","Tintinnida","Tintinnidae","Salpingella","Salpingella sp."
"157","ASV_157","Low","99922","Eukaryota","Ciliophora","Spirotrichea","Urostylida","Urostylidae","Paruroleptus","Paruroleptus lepisma"
"158","ASV_158","Low","168745","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Hippopodiidae","Hippopodius","Hippopodius hippopus"
"159","ASV_159","Low","645386","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae","Dimophyes","Dimophyes arctica"
"160","ASV_160","Low","339963","Eukaryota","","Cryptophyceae","Kathablepharidacea","Katablepharidaceae","Katablepharis","Katablepharis japonica"
"161","ASV_161","Low","200601","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Oxytricha","Oxytricha sp. Steamboat Hot Springs"
"162","ASV_162","None","None",NA,NA,NA,NA,NA,NA,NA
"163","ASV_163","Low","696186","Eukaryota","Ciliophora","Spirotrichea","Choreotrichida","Lynnellidae","Lynnella","Lynnella semiglobulosa"
"164","ASV_164","Low","390142","Eukaryota","Ciliophora","Spirotrichea","Urostylida","Pseudokeronopsidae","Pseudokeronopsis","Pseudokeronopsis rubra"
"165","ASV_165","None","None",NA,NA,NA,NA,NA,NA,NA
"166","ASV_166","None","None",NA,NA,NA,NA,NA,NA,NA
"167","ASV_167","None","None",NA,NA,NA,NA,NA,NA,NA
"168","ASV_168","High","696184","Eukaryota","Ciliophora","Spirotrichea","","Strombidiidae","Strombidium","Strombidium paracalkinsi"
"169","ASV_169","Low","5949","Eukaryota","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Stylonychia","Stylonychia lemnae"
"170","ASV_170","Low","2778692","Eukaryota","Ciliophora","Litostomatea","Cyclotrichida","Mesodiniidae","Askenasia","Askenasia chlorelligera"
"171","ASV_171","Low","363325","Eukaryota","","Dinophyceae","Blastodiniales","","Blastodinium","Blastodinium contortum"
